1001;Sabadell;2025.52;Cancelado
1002;Leganés;3987.62;Retrasado
1003;Almería;3148.4;Devuelto
1004;Ávila;675.52;En_Almacén
1005;Lugo;110.14;Devuelto
1006;Mérida;1270.96;Cancelado
1007;Vitoria;3912.83;Retrasado
1008;Las_Palmas;551.01;Cancelado
1009;Cuenca;1654.92;Entregado
1010;Cádiz;146.21;Cancelado
1011;Salamanca;2186.09;Retrasado
1012;Oviedo;608.13;Devuelto
1013;Jaén;3915.34;En_Ruta
1014;Valladolid;1588.78;Cancelado
1015;Almería;2582.79;Cancelado
1016;Córdoba;2868.65;Entregado
1017;Jaén;1581.09;En_Ruta
1018;Sabadell;2349.5;Retrasado
1019;Lleida;2863.34;Pendiente
1020;Palma;2717.99;Entregado
1021;Lugo;3094.37;Cancelado
1022;Terrassa;2713.9;Cancelado
1023;Badajoz;1145.26;Entregado
1024;Badajoz;404.67;En_Ruta
1025;Badajoz;3310.2;En_Ruta
1026;Lugo;787.46;Entregado
1027;Valladolid;2047.55;Entregado
1028;Málaga;1950.13;Retrasado
1029;Las_Palmas;3960.76;En_Ruta
1030;Alicante;2953.21;Pendiente
1031;Valladolid;1212.65;Pendiente
1032;Hospitalet;4797.96;Retrasado
1033;Leganés;4018.34;Retrasado
1034;Barcelona;3931.12;Entregado
1035;Albacete;945.87;Devuelto
1036;Oviedo;2081.6;Cancelado
1037;Segovia;3575.13;Retrasado
1038;Lleida;2442.81;En_Ruta
1039;Valladolid;2410.25;En_Almacén
1040;Barcelona;3477.71;Retrasado
1041;Valladolid;690.54;Cancelado
1042;Murcia;16.19;Cancelado
1043;Barcelona;2965.17;Retrasado
1044;Toledo;926.44;Retrasado
1045;Ourense;1777.7;En_Almacén
1046;Málaga;1243.54;En_Almacén
1047;Lugo;---;Entregado
1048;;3181.22;Retrasado
1049;Terrassa;4682.12;En_Almacén
1050;Móstoles;1120.35;Pendiente
1051;Jerez;4075.44;Entregado
1052;Madrid;2248.64;Devuelto
1053;León;4039.59;Devuelto
